time	flux
2456896.11842	0.990873495898
2456896.11904	0.990823445699
2456896.11957	0.990782055601
2456896.12019	0.990735634488
2456896.12072	0.990697181469
2456896.12134	0.990653993061
2456896.12187	0.990618174863
2456896.12249	0.990577905063
2456896.12302	0.990544479652
2456896.12364	0.990506874449
2456896.12417	0.990475644303
2456896.12479	0.990440494815
2456896.12532	0.990411296284
2456896.12594	0.990378428301
2456896.12647	0.990351124168
2456896.12709	0.990320390828
2456896.12762	0.99029486476
2456896.12824	0.990266140994
2456896.12877	0.990242293609
2456896.12939	0.990215472108
2456896.12993	0.990193217777
2456896.13054	0.990168205916
2456896.13108	0.990147470472
2456896.1317	0.990124187768
2456896.13223	0.990104906697
2456896.13285	0.990083282976
2456896.13338	0.990065399896
2456896.134	0.990045373774
2456896.13453	0.990028839269
2456896.13515	0.990010356878
2456896.13568	0.989995127602
2456896.1363	0.989978141662
2456896.13683	0.989964179519
2456896.13745	0.989948648455
2456896.13798	0.989935919987
2456896.1386	0.989921807343
2456896.13913	0.989910283206
2456896.13975	0.989897557049
2456896.14028	0.989887211573
2456896.1409	0.989875844022
2456896.14143	0.989866654884
2456896.14205	0.989856621756
2456896.14258	0.989848569652
2456896.1432	0.989839850151
2456896.14374	0.989832918551
2456896.14435	0.989825494981
2456896.14489	0.989819669958
2456896.1455	0.989813527532
2456896.14604	0.98980879755
2456896.14666	0.989803924211
2456896.14719	0.98980028003
2456896.14781	0.989796666313
2456896.14834	0.989794100866
2456896.14896	0.989791739794
2456896.14949	0.98979024811
2456896.15011	0.989789135106
2456896.15064	0.989788714265
2456896.15126	0.989788847116
2456896.15179	0.989789496204
2456896.15241	0.989790875029
2456896.15294	0.989792595136
2456896.15356	0.98979522239
2456896.15409	0.989798016622
2456896.15471	0.989801897118
2456896.15524	0.989805770629
2456896.15586	0.989810911599
2456896.15639	0.989815871642
2456896.15701	0.989822282808
2456896.15754	0.989828338825
2456896.15816	0.989836032505
2456896.1587	0.989843196233
2456896.15931	0.989852187499
2456896.15985	0.989860473092
2456896.16047	0.989870779929
2456896.161	0.989880204132
2456896.16162	0.989891847663
2456896.16215	0.989902430048
2456896.16277	0.989915434796
2456896.1633	0.989927197961
2456896.16392	0.989941592157
2456896.16445	0.989954562073
2456896.16507	0.989970378076
2456896.1656	0.989984584409
2456896.16622	0.990001859139
2456896.16675	0.990017335717
2456896.16737	0.990036111209
2456896.1679	0.990052896558
2456896.16852	0.990073220684
2456896.16905	0.990091358612
2456896.16967	0.99011328588
2456896.1702	0.990132826344
2456896.17082	0.990156418857
2456896.17135	0.990177418888
2456896.17197	0.990202747687
2456896.17251	0.99022527254
2456896.17312	0.990252419065
2456896.17366	0.990276543782
2456896.17428	0.990305601895
2456896.17481	0.990331413109
2456896.17543	0.990362491518
2456896.17596	0.990390089922
2456896.17658	0.990423315364
2456896.17711	0.990452818827
2456896.17773	0.990488340359
2456896.17826	0.990519888074
2456896.17888	0.99055788252
2456896.17941	0.990591640589
2456896.18003	0.990632320236
2456896.18056	0.990668489437
2456896.18118	0.990712112795
2456896.18171	0.990750939461
2456896.18233	0.990797826576
2456896.18286	0.99083961887
2456896.18348	0.990890174615
2456896.18401	0.990935327148
2456896.18463	0.99099007755
2456896.18516	0.991039111495
2456896.18578	0.991098764677
2456896.18631	0.991152397489
2456896.18693	0.991217954496
2456896.18747	0.991277233433
2456896.18808	0.991350217133
2456896.18862	0.991416822688
2456896.18924	0.991499872538
2456896.18977	0.991577090818
2456896.19039	0.991690956534
2456896.19092	0.991881984387
2456896.19154	0.992269399965
2456896.19207	0.992719386384
2456896.19269	0.993319506501
2456896.19322	0.993877298533
2456896.19384	0.994557260646
2456896.19437	0.995155213229
2456896.19499	0.995855247496
2456896.19552	0.996450361677
2456896.19614	0.997125613744
2456896.19667	0.997681597434
2456896.19729	0.99829017151
2456896.19782	0.998769414395
2456896.19844	0.999262140267
2456896.19897	0.999612098162
2456896.19959	0.999890446789
2456896.20012	0.999996250773
2456896.20074	1.00001711138
2456896.20128	1.00001738848
2456896.20189	1.00001771457
2456896.20243	1.00001799754
2456896.20305	1.00001833051
2456896.20358	1.00001861942
2456896.2042	1.00001895936
2456896.20473	1.00001925427
2456896.20535	1.00001960124
2456896.20588	1.00001990223
2456896.2065	1.00002025631
2456896.20703	1.00002056344
2456896.20765	1.00002092471
2456896.20818	1.00002123804
2456896.2088	1.00002160658
2456896.20933	1.00002192619
2456896.20995	1.00002230208
2456896.21048	1.00002262803
2456896.2111	1.00002301135
2456896.21163	1.00002334371
2456896.21225	1.00002373454
2456896.21278	1.00002407339
2456896.2134	1.00002447182
2456896.21393	1.00002481722
2456896.21455	1.00002522332
2456896.21509	1.00002557535
2456896.2157	1.00002598921
2456896.21624	1.00002634793
2456896.21686	1.00002676964
2456896.21739	1.00002713513
2456896.21801	1.00002756477
2456896.21854	1.0000279371
2456896.21916	1.00002837475
2456896.21969	1.000028754
2456896.22031	1.00002919975
2456896.22084	1.00002958599
2456896.22146	1.00003003992
2456896.22199	1.00003043322
2456896.22261	1.00003089543
2456896.22314	1.00003129587
2456896.22376	1.00003176643
