alpha,Lambda,FpoFs
#alpha=-180
-170,7.7140, 0.000307753033
-170,7.4982, 0.000304764595
-170,7.2839, 0.000291000730
-170,7.0937, 0.000303568927
-170,6.8726, 0.000305230433
-170,6.6638, 0.000281928169
-170,6.5153, 0.000262366023
-170,6.2974, 0.000281853643
-170,6.0639, 0.000261245839
-170,5.8990, 0.000239927440
-170,5.7594, 0.000236470273
-170,5.5721, 0.000234756583
-170,5.3791, 0.000249363913
-170,5.2647, 0.000259003131
-170,5.1491, 0.000264878796
-170,4.9998, 0.000287731881
-170,4.8816, 0.000302520746
-170,4.8274, 0.000290400574
-170,4.7964, 0.000293545722
-170,4.7498, 0.000305805126
-170,4.6999, 0.000307077639
-170,4.6623, 0.000299894169
-170,4.6050, 0.000302260796
-170,4.5041, 0.000292422721
-170,4.3952, 0.000280010406
-170,4.3007, 0.000271940887
-170,4.2019, 0.000273473855
-170,4.0737, 0.000259329342
-170,3.9494, 0.000207494853
-170,3.8493, 0.000165667660
-170,3.7493, 0.000125474244
-170,3.6621, 0.000094455470
-170,3.5871, 0.000072122787
-170,3.5131, 0.000061185130
-170,3.4381, 0.000055505541
-170,3.3634, 0.000051476009
-170,3.3078, 0.000051457021
-170,3.2691, 0.000051110722
-170,3.2309, 0.000047308277
-170,3.1934, 0.000046045357
-170,3.1559, 0.000046829613
-170,3.1184, 0.000050511529
-170,3.0848, 0.000055102439
-170,3.0548, 0.000061877891
-170,3.0145, 0.000064474031
-170,2.9647, 0.000061085664
-170,2.9086, 0.000054345479
-170,2.8468, 0.000046708250
-170,2.7875, 0.000041629941
-170,2.7304, 0.000039407716
-170,2.6756, 0.000034473255
-170,2.6230, 0.000035477185
-170,2.5736, 0.000030198794
-170,2.5272, 0.000030086177
-170,2.4816, 0.000029241766
-170,2.4368, 0.000024965015
-170,2.3942, 0.000020820532
-170,2.3536, 0.000017970150
-170,2.3143, 0.000017413627
-170,2.2765, 0.000015737304
-170,2.2400, 0.000016412339
-170,2.2089, 0.000016512329
-170,2.1828, 0.000022594600
-170,2.1625, 0.000026587325
-170,2.1477, 0.000027492540
-170,2.1365, 0.000028889522
-170,2.1288, 0.000029265272
-170,2.1136, 0.000030031226
-170,2.0911, 0.000030642019
-170,2.0698, 0.000029750455
-170,2.0498, 0.000027445641
-170,2.0298, 0.000025152378
-170,2.0098, 0.000021840519
-170,1.9820, 0.000018454900
-170,1.9470, 0.000015458172
-170,1.9163, 0.000015744126
-170,1.8894, 0.000015772245
-170,1.8631, 0.000012471697
-170,1.8374, 0.000012012896
-170,1.8123, 0.000012242843
-170,1.7884, 0.000012109402
-170,1.7656, 0.000012829088
-170,1.7405, 0.000014026284
-170,1.7133, 0.000013534245
-170,1.6915, 0.000012375596
-170,1.6749, 0.000011355547
-170,1.6598, 0.000014447408
-170,1.6461, 0.000015042457
-170,1.6274, 0.000013104885
-170,1.6040, 0.000022392986
-170,1.5837, 0.000029621101
-170,1.5672, 0.000027482286
-170,1.5523, 0.000024240082
-170,1.5376, 0.000019729230
-170,1.5226, 0.000015942089
-170,1.5060, 0.000012725507
-170,1.4881, 0.000009611004
-170,1.4706, 0.000007910298
-170,1.4524, 0.000006680078
-170,1.4337, 0.000004838770
-170,1.4159, 0.000004102342
-170,1.4001, 0.000003869075
-170,1.3865, 0.000003727563
-170,1.3741, 0.000003649616
-170,1.3583, 0.000003357004
-170,1.3393, 0.000005329383
-170,1.3185, 0.000019675751
-170,1.2960, 0.000025394665
-170,1.2761, 0.000029665461
-170,1.2586, 0.000027166463
-170,1.2411, 0.000023536202
-170,1.2236, 0.000019907464
-170,1.2061, 0.000014336009
-170,1.1886, 0.000008843101
-170,1.1692, 0.000005096552
-170,1.1482, 0.000005272329
-170,1.1256, 0.000005225365
-170,1.1016, 0.000007989919
-170,1.0802, 0.000013133201
-170,1.0613, 0.000011975305
-170,1.0396, 0.000010152795
-170,1.0156, 0.000007331016
-170,0.9960, 0.000005298430
-170,0.9804, 0.000004321286
-170,0.9628, 0.000003155756
-170,0.9439, 0.000002563475
-170,0.9315, 0.000001741012
-170,0.9189, 0.000002239603
-170,0.9040, 0.000001771622
-170,0.8915, 0.000001334625
-170,0.8774, 0.000001071823
-170,0.8655, 0.000000947033
-170,0.8522, 0.000000882153
-170,0.8341, 0.000000524644
-170,0.8223, 0.000000390434
-170,0.8097, 0.000000285742
-170,0.7924, 0.000000358484
-170,0.7774, 0.000000435405
-170,0.7650, 0.000000368708
-170,0.7524, 0.000000146892
-170,0.7390, 0.000000185063
-170,0.7288, 0.000000334502
-170,0.7143, 0.000000514118
-170,0.6969, 0.000000249567
-170,0.6771, 0.000000391265
-170,0.6574, 0.000000230246
-170,0.6424, 0.000000207801
-170,0.6280, 0.000000251850
-170,0.6165, 0.000000195196
-170,0.6044, 0.000000147357
-170,0.5909, 0.000000185800
-170,0.5784, 0.000000102100
-170,0.5654, 0.000000118501
-170,0.5519, 0.000000092484
-170,0.5369, 0.000000055189
-170,0.5235, 0.000000079392
-170,0.5064, 0.000000065594
-170,0.4849, 0.000000040116
-170,0.4648, 0.000000032016
-170,0.4448, 0.000000022410
-170,0.4258, 0.000000015259
-170,0.4083, 0.000000017660
-170,0.3871, 0.000000044045
-170,0.3621, 0.000000058418
-170,0.3370, 0.000000042733
-170,0.3120, 0.000000041809
-170,0.2870, 0.000000026014
-170,0.2679,            Inf


#alpha=-165
-165,227.5313, 0.001648955063
-165,138.7925, 0.001383497727
-165,97.7517, 0.001288241099
-165,73.6920, 0.001194303494
-165,53.8793, 0.001139519462
-165,42.2119, 0.001074817184
-165,35.7526, 0.001048983938
-165,29.7000, 0.001009161561
-165,24.8385, 0.000965931241
-165,21.3950, 0.000916845529
-165,19.3817, 0.000903135069
-165,18.1802, 0.000899753998
-165,16.9779, 0.000880313458
-165,15.7766, 0.000860346227
-165,14.5751, 0.000849249926
-165,13.5879, 0.000834574631
-165,12.7869, 0.000826150668
-165,11.9861, 0.000816460318
-165,11.2918, 0.000793492760
-165,10.6918, 0.000650712195
-165,10.0913, 0.000735486543
-165,9.6479, 0.000704525256
-165,9.3475, 0.000634005019
-165,8.9952, 0.000567138257
-165,8.6730, 0.000492145165
-165,8.3452, 0.000422655895
-165,8.0743, 0.000386689931
-165,7.9039, 0.000365809549
