time	flux	error	model	residuals
2456896.03642	1.00003577332	4.05761115377e-05	1.00007094951	-3.51736993599e-05
2456896.07272	0.999763636683	4.23543342455e-05	1.00003870781	-0.000275060480621
2456896.07449	1.00029486312	4.05772193673e-05	1.000037574	0.000257279453698
2456896.07626	1.00001792369	4.23566851553e-05	1.00003647762	-1.85532542325e-05
2456896.07804	1.00013399742	4.05777904584e-05	1.00003541237	9.85815554163e-05
2456896.07981	0.999986969748	4.23573191456e-05	1.00003438979	-4.74184132481e-05
2456896.08158	1.00009150505	4.05780608558e-05	1.00003340337	5.80997476119e-05
2456896.08335	1.00006109445	4.23572546326e-05	1.00003245268	2.86408371012e-05
2456896.08512	0.999876446781	4.05782030124e-05	1.00003153734	-0.000155085663263
2456896.08689	1.00004033785	4.23576291016e-05	1.00003065693	9.68063089689e-06
2456896.08866	0.999919749545	4.05778452936e-05	1.00002981106	-0.000110058238024
2456896.09043	1.00001037951	4.23575514777e-05	1.00002899936	-1.86193097353e-05
2456896.0922	0.999941777972	4.05779182724e-05	1.00002822145	-8.64410409736e-05
2456896.09397	1.00005702354	4.23570069266e-05	1.00002747696	2.95457648902e-05
2456896.09575	0.99997522435	4.05775010312e-05	1.00002676554	-5.1539811974e-05
2456896.09752	1.00004211755	4.23564415555e-05	1.00002608684	1.60302952628e-05
2456896.0993	0.999952540734	4.05771626052e-05	1.00002543695	-7.28943633675e-05
2456896.10107	0.999742619672	4.23561949455e-05	0.999885088072	-0.000142484772758
2456896.10284	0.998093086198	4.05764406876e-05	0.998740041236	-0.000647771203499
2456896.13913	0.989659550965	4.23554385649e-05	0.989904858492	-0.000247809196075
2456896.1409	0.99005033541	4.05774521491e-05	0.98987431523	0.00017782073689
2456896.14268	0.989853776833	4.23569460938e-05	0.989849452314	4.36886484358e-06
2456896.14445	0.989989700567	4.05779675441e-05	0.98983042986	0.00016090706279
2456896.14622	0.989742903223	4.23570185684e-05	0.989817002953	-7.48620500338e-05
2456896.14799	0.989820943439	4.0578366292e-05	0.989809109824	1.19554516877e-05
2456896.14976	0.989775876014	4.23576322221e-05	0.989806714251	-3.11558176134e-05
2456896.15153	0.989739112532	4.0578262507e-05	0.989809804633	-7.14198830947e-05
2456896.1533	0.989861306342	4.23579812846e-05	0.989818393679	4.33540771311e-05
2456896.15507	0.989751234637	4.05780890774e-05	0.989832518744	-8.21190501891e-05
2456896.15684	0.989943521171	4.23573102348e-05	0.989852242789	9.22141484454e-05
2456896.15861	0.989822106224	4.05779211717e-05	0.989877656084	-5.61179050006e-05
2456896.16038	0.989976425541	4.2357305883e-05	0.989908878641	6.82354718274e-05
2456896.16215	0.989933409906	4.05780463975e-05	0.989946063713	-1.27823193046e-05
2456896.16393	0.990064321652	4.23570995975e-05	0.989989665188	7.54113576561e-05
2456896.1657	0.990018295154	4.0576932991e-05	0.990039429607	-2.13470825459e-05
2456896.16747	0.990249447424	4.23560460539e-05	0.990095872324	0.000155111342633
2456896.16924	0.990180989234	4.05769114473e-05	0.990159344915	2.18594294975e-05
2456896.20551	0.9999298896	4.23553524349e-05	1.00004034929	-0.000110455229286
2456896.20728	1.00023667541	4.05777733536e-05	1.0000415271	0.000195140203411
2456896.20905	1.0000109893	4.23571432706e-05	1.00004274046	-3.17498081811e-05
2456896.21082	1.00010339519	4.05784206331e-05	1.00004398976	5.94028149262e-05
2456896.2126	1.000074822	4.23574862089e-05	1.00004528278	2.95378846705e-05
2456896.21437	1.00009920367	4.05785736078e-05	1.0000466054	5.25958266295e-05
2456896.21614	1.00010516746	4.23579942789e-05	1.00004796519	5.71995251492e-05
2456896.21791	0.999994780152	4.05789953121e-05	1.00004936259	-5.4579740667e-05
2456896.21968	1.00001821278	4.23580018071e-05	1.00005079801	-3.2583576492e-05
2456896.22145	1.00000046804	4.05787806319e-05	1.0000522719	-5.18011448848e-05
2456896.22322	1.0000246697	4.23579404396e-05	1.00005378468	-2.91134105034e-05
2456896.22499	0.999991715002	4.05785323662e-05	1.00005533679	-6.36182649485e-05
2456896.22676	1.0000629127	4.23574340692e-05	1.00005692867	5.98368642964e-06
2456896.22853	0.999981463039	4.05787275729e-05	1.00005856078	-7.70932216855e-05
2456896.2303	1.00015425361	4.23570423879e-05	1.00006023354	9.40144019575e-05
2456896.23206	1.00003383798	4.0577513791e-05	1.00006194742	-2.81076954074e-05
2456896.23384	1.0001332979	4.23564547057e-05	1.00006371289	6.95805788317e-05
2456896.23561	0.999981446868	4.05770914421e-05	1.00006551057	-8.40581960402e-05
2456896.27189	0.999866715739	4.23557483716e-05	1.00011235627	-0.000245612930239
2456896.27365	1.00033759941	4.0578029041e-05	1.00011516195	0.000222411848678
2456896.27542	1.00013937588	4.23570308555e-05	1.00011801894	2.13544210965e-05
2456896.2772	1.00017284596	4.0578563904e-05	1.00012094415	5.18955383799e-05
2456896.27897	1.00019020286	4.23583065825e-05	1.00012390503	6.6289613978e-05
2456896.28074	1.00024054413	4.057899972e-05	1.00012691819	0.000113611523014
